Sentences,Naive Bayes,KNN,Decision Tree,Logistic Regression,Perceptron Model,Random Forest,SVM,sum count,Company,True Label,Classified by Hand,Pattern Recognition,Issues / Comments
"• Abu Dhabi, UAE • Amsterdam, Netherlands • Beijing, China • Brasilia, Brazil • Brussels, Belgium • Brisbane, Australia • London, U.K. • Pulau Ujong, Singapore • Tokyo, Japan • Washington D.C., U.S. Communities and Industry • Aerospace Industries Association (AIA) • Aerospace Defence, Security and Space • Air Transport Action Group (ATAG) (Geneva, Switzerland) • Aircraft Fleet Recycling Association (AFRA) • Airlines for America (A4A) • Airlines for Europe • Association of Aerospace Industries (Singapore) • Boeing Aerospace Technology Institute Accelerator project • Commercial Aviation Alternative Fuels Initiative (CAAFI) • International Aerospace Environmental Group (IAEG) • International Air Transport Association (IATA) • International Civil Aviation Organization (ICAO) • Jet Zero Council (London, UK) • MIT Climate & Sustainability Consortium • Nordic Initiative for Sustainable Aviation • Roundtable on Sustainable Biomaterials (Geneva, Switzerland) • Sustainable Aviation Buyers Alliance (SABA), BC-SMART • Sustainable Aviation Fuel Alliance of Australia and New Zealand (SAFAANZ) • UK Sustainable Aviation • World Economic Forum Clean Skies for Tomorrow Coalition (Cologny, Switzerland) STEM Newton Rooms • Angers Mobile Room (France) • Bari Mobile Room (Italy) • Beijing Room (China) • Dijon Mobile Room (France) • Hoogerheide Mobile Room (Netherlands) • Łódź Permanent Room (Poland) • Lyon Mobile Room (France) • Ourense Permanent Room (Spain) • STEM Education (Turkey) Recycling Solar-Powered Paint Facility Energy Star Award 100% Renewable Energy Facility Hydrokinetic Turbines Air Traffc Management Research Aircraft Recycling Sustainable Aviation Fuels Supply Chain Development Sustainable Aviation Fuels Initiative Sustainable Aviation Fuels Collaboration Resin Infusion and Carbon Fiber Recycling Guam Solar Facility Aluminum Recycling Sustainable Aviation Fuels Flight and Research Sustainable Aviation Fuels Sustainable Aviation Fuels Roadmap HEFA+ Fuel Commercialization Sustainable Aviation Fuels Research Air Space Capabilities Small Farm Sustainable Aviation Fuels Initiative Air Traffc Management Research Air Traffc Management Research Air Traffc Management Research Air Traffc Management Research People and Presence Locations with Boeing teammates and key partners focused on advancing sustainable aerospace efforts.",0,0,1,0,0,0,0,1,Boeing,irr,irr,,
Our Compliance and Ethics Our values guide our actions at every level.,0,0,1,0,1,0,0,2,BookingHoldings,irr,irr,,
"In addition, emissions from data centers were previously reported as scope 2 and have been corrected to be a scope 3 category.",0,0,1,0,0,1,0,2,BookingHoldings,irr,irr,,
We offset emissions that we are unable to reduce through the purchase of credible carbon offset projects from organizations such as Gold Standard and Verified Carbon Standard (VCS).,0,0,0,0,1,0,0,1,BookingHoldings,rel,rel,,
"4 BOOKING HOLDINGS / 2021 SUSTAINABILITY REPORT A Note from Our CEO The types of investments outlined come with a double dividend: they cut both emissions and operating costs, providing the sector with the opportunity to take action now and become more ambitious over time.",0,0,1,0,0,0,0,1,BookingHoldings,irr,irr,,follow up to something relevant
"We completed the formation of a 50-50 strategic US offshore wind partnership with Equinor to jointly develop up to 4.4GW generating capacity from two major lease areas off the US East Coast through two projects, Empire Wind and Beacon Wind.",0,0,1,0,1,0,0,2,BP,rel,rel,,
"f Methane intensity based on our new measurement approach which we aim to have in place by the end of 2023. g Reductions against a new baseline which we intend to be based on our new measurement approach, which we aim to have in place by the end of 2023.",1,0,0,0,1,0,0,2,BP,irr,irr,,argubaly rel? may not be extracted properly. lead-in
"Lightsource bp is further accelerating growth, now targeting up to 25GW by 2025 and will be exclusively developing a potential 9GW solar pipeline for bp following the acquisition of 7X Energy in 2021.",0,1,0,0,1,0,0,2,BP,rel,rel,,
"In 2021, we focused on defining and building the systems, processes and metrics that we will need in order to progress towards our 2025 targets and 2030 aims.",1,0,0,0,0,1,0,2,BP,irr,irr,,
What are nature-based solutions and natural climate solutions?,1,1,0,0,0,0,0,2,BP,irr,irr,,
• Representing our industry on the UK government Green Jobs Taskforce.,0,1,0,0,0,0,0,1,BP,irr,irr,,
"We are aiming to start production by 2025, with an initial phase of some 60MWe of installed hydrogen production capacity.",0,0,0,0,1,0,0,1,BP,rel,rel,future tense but numbers,
reduction) and cessation of production at Foinaven FPSO (0.2 MtCO2e.,0,0,1,0,0,0,0,1,BP,rel,irr,,unclear what this means
"We have photovoltaic installations at five sites in the U.S., Switzerland and China, providing a combined annual electricity output of 3,632,000 kWh, equivalent to taking",0,0,1,0,0,0,0,1,BristolMyersSquibb,rel,rel,,
"Interpretation When we use the terms “Broadcom,” “we,” “us,” “our” and the “company,” we mean Broadcom Inc., a Delaware corporation, and its consolidated subsidiaries, taken as a whole, unless the context otherwise indicates.",0,1,0,0,1,0,0,2,Broadcom,irr,irr,,
"The replaced parts that reached the initial serviceable lifetime are returned to Caterpillar Energy Solutions where they are cleaned, disassembled, inspected and remanufactured to like- new condition.",1,0,1,0,0,0,0,2,Caterpillar,irr,rel,,
"The D6E XE high-drive dozer, for example, offers up to 35% better fuel efficiency and up to 23% less fuel usage than previous models.",0,0,0,0,1,0,1,2,Caterpillar,rel,rel,,
We maintain global strategic sourcing models to meet our global facilities’ production needs while building long-term supplier relationships.,1,0,0,0,1,0,0,2,Caterpillar,irr,irr,"vague, unclear what the action is",
"Strategies to help Cisco achieve net zero include: ● Continuing to increase the energy efficiency of our products through innovative product design ● Accelerating use of renewable energy ● Embracing hybrid work ● Investing in carbon removal solutions ● Further embedding sustainability and circular economy principles across our business Our goal is supported by near-term targets, including to reach net zero for all global Scope 1 and Scope 2 emissions by 2025.",0,0,1,0,1,0,0,2,Cisco,rel,irr,,
This work will be a focus in fiscal 2022.,0,1,0,0,0,1,0,2,Cisco,irr,irr,,
We sourced 200 GWh of solar renewable energy certificates (RECs) generated in North Carolina and continued to participate in Duke Energy’s Green Rider program to increase the amount of local renewable energy we procure for our Research Triangle Park campus.,0,0,1,0,0,0,0,1,Cisco,rel,rel,,
Contents CEO Letter Highlights About Governance Safety People Supply Chain Environment Community Appendix 36 LIFE CYCLE EMISSIONS OF FUEL From Well-to-wake Delta has reported “tank-to-wake” combustion emissions since 2005 as part of our greenhouse gas emissions inventory.,0,1,1,0,0,0,0,2,Delta,irr,rel,,
"Current feedstock and technologies can produce SAF with up to 80% lower life cycle emissions than conventional jet fuel, which can be blended with conventional jet fuel at up to 50%.",0,1,0,0,1,0,0,2,Delta,rel,irr,,"could be rel, but doesn't specify that the company is making this action. but context, lead-in"
"Contents CEO Letter Highlights About Governance Safety People Supply Chain Environment Community Appendix 71 FUEL EFFICIENCY Mainline + DCI Jet Fuel Gallons (millions) Revenue Passenger Miles (millions) Passenger Revenue Ton Miles (millions) Cargo Ton Miles (millions) Total RTM (millions) Fuel Efficiency: (gallons/100 RTM) Available Seat Miles (millions) Fuel Efficiency: (gallons/1000 ASM) Metric Defined Jet fuel from mainline + Connection Carrier operations* Number of paying passengers multiplied by the distance they travelled in miles Weight, in U.S. tons, of paying passengers multiplied by the distance traveled (assumed 220.5 lbs per passenger, including luggage) Weight, in U.S. tons, of revenue generating cargo multiplied by distance travelled Sum of passenger and cargo revenue ton miles Fuel efficiency on a payload-mile basis Number of seats available to sell multiplied by the distance travelled Fuel efficiency on a capacity basis 2009 3,872 188,943 20,827 2,256 23,083 16.77 230,331 16.81 2010 3,821 193,469 21,326 2,272 23,598 16.19 232,684 16.42 2011 3,853 192,767 21,249 2,370 23,619 16.31 234,656 16.42 2012 3,765 192,974 21,272 2,385 23,657 15.92 230,415 16.34 2013 3,825 194,988 21,494 2,350 23,843 16.04 232,740 16.43 2014 3,889 202,925 22,369 2,357 24,726 15.73 239,676 16.23 2015 3,982 209,625 23,107 2,193 25,300 15.74 246,764 16.14 2016 4,009 213,097 23,490 1,980 25,470 15.74 251,867 15.92 2017 4,025 217,716 23,999 2,148 26,147 15.39 254,325 15.83 2018 4,103 225,242 24,829 2,170 26,998 15.20 263,365 15.58 2019 4,207 237,680 26,200 1,995 28,195 14.92 275,379 15.28 2020 1,934 73,412 8,092 1,082 9,175 21.08 134,339 14.40 2021 2,778 134,692 14,847 1,506 16,354 16.99 194,474 14.28 *Consistent with prior period reporting, this table excludes data from Delta Private Jets (DPJ) for all periods that DPJ was owned by Delta.",1,1,0,0,0,0,0,2,Delta,irr,irr,,may not be extracted properly
"Ed Bastian Chief Executive Officer Delta Air Lines, Inc. Travel Can Change the World.",0,0,1,0,1,0,0,2,Delta,irr,irr,,
"In 2021, Delta retired and replaced over 460 pieces of equipment with zero-emissions eGSE.",0,1,0,0,1,0,0,2,Delta,rel,rel,,
Progress Towards Our Goals Fuel Efficiency Improve fuel efficiency on an ASM basis FUEL EFFICIENCY (ASM) 17.0 16.5 16.0 15.5 15.0 ASM: Fuel efficiency on a capacity basis improved by 14.5 0.8% compared to 2020 partially as a result of our 14.0 fleet retirements.,0,0,1,0,1,0,0,2,Delta,rel,rel,,but need more context on key words
"For Delta to reach net zero, out-of-sector solutions will likely be a necessary complement to fleet, SAF, operational initiatives and other in-sector technology improvements, and there will be a need to transition from avoidance (preventing deforestation) and reduction (solar, wind) type projects to removal projects that are absorbing incremental and additional CO2 from the atmosphere.",0,1,0,0,1,0,0,2,Delta,rel,irr,,
"•� � First Movers Coalition – Delta is a founding member of this public-private partnership and purchasing platform, facilitated by the Special Presidential Envoy for Climate John Kerry and the World Economic Forum, to accelerate and scale the development of breakthrough technologies and fuels through market forcing strategies, helping hard-to-abate sectors, like aviation, reduce GHG emissions.",0,0,1,0,0,0,0,1,Delta,irr,rel,,
"� To certify the sustainability of SAF, ICAO has approved the International Sustainability and Carbon Certification (ISCC) and Roundtable of Sustainable Biomaterials (RSB).",0,0,1,0,0,0,0,1,Delta,irr,irr,,need more context
�� Flight Operations: Changes to routing and flight planning to reduce fuel burn.,0,0,1,0,0,0,0,1,Delta,rel,rel,,
"102-49 Changes in reporting About this Report – ESG Materiality Assessment REPORT PROFILE 102-50 Reporting period January 1, 2021 – December 31, 2021 102-51 Date of most recent report Delta's 2020 ESG Report published in May 2021 102-52 Reporting cycle Annual",0,0,1,0,0,0,0,1,Delta,irr,irr,,
We aim to reduce life cycle jet fuel GHG emissions on a per revenue ton kilometer basis by 2035 compared to a 2019 baseline.,0,1,0,0,0,0,0,1,Delta,rel,irr,,
"protecting forests • REDD+: Reducing Emissions from Deforestation and Forest Degradation • LULUCF: Land Use, Land Use Change and Forestry REDUCTION: Includes technologies or projects that increase the availability of renewable energy and convert waste into energy • Energy Capture • Renewable Energy: projects like solar- and wind-generated power installations REMOVAL: Involves projects to remove CO2 from the atmosphere and store it • Carbon Capture and Storage (CCS) • Afforestation 2021 OFFSET PROJECT TYPES (by Quantity Purchased, MT CO2e) AVOIDANCE 44% (REDD+, LULUCF) Delta purchased nearly 12M metric tons of offsets dedicated to preventing deforestation 6% OFFSETS PROGRESS While our primary focus is on decarbonizing aviation and reaching net zero by 2050, we invested $137 million in offsets for 2021 to balance 27 million metric tons of currently unavoidable carbon emissions in support of our goal to spend $1 billion through 2030 toward airline carbon neutrality.",0,0,1,0,0,0,0,1,Delta,rel,rel,specific concrete actions (past tense + numbers),
The following table outlines a sampling of reduction initiatives completed in 2021 that have had a material impact on Dow’s reported Scope 1 and Scope 2 emissions.,1,0,0,0,1,0,0,2,Dow,rel,irr,,but appears to act as a context/lead-in sentence for something relevant
• Our research and development portfolio assessment process prioritizes sustainability elements such as benefits and impacts to water and driving innovation in water consumption and effluents.,0,0,1,0,0,0,0,1,Dow,irr,irr,,
This technology moves natural gas from a pipeline being depressurized into another section of the natural gas system and has reduced methane emissions through these activities by nearly 99% and saved 2.4 million cubic feet of natural gas thus far.,0,1,0,0,1,0,0,2,Duke_Energy,rel,rel,,
We look forward to working together on a brighter and more equitable energy future!,0,0,1,0,0,1,0,2,Duke_Energy,irr,irr,"vague, unclear what the action is",
"Fuels Consumed For Electric Generation 1 Coal (million tons) 63.1 Oil (million gallons) 231 Natural gas (billion cubic feet) 163 2021 Generation Capacity 1 37% Natural gas 29% Coal 17% Nuclear 9% Wind/solar 2% Conv.hydro 2% Oil 0.1% Fuel cell 24.3 19.7 26.0 19.4 567 585 Fuels consumed for electric generation Since 2008, the use of coal and oil as generation fuels has significantly decreased.",0,1,0,0,1,0,0,2,Duke_Energy,rel,rel,,
"Moving Toward a Cleaner Generation Fleet and Increased Fuel Diversity (Represents total company view) Transforming the way we produce power (Generation (MWh) by fuel type) 2005 1 2021 1, 2 2030E 3 1% Hydro, wind and solar 33% Nuclear 6% Natural gas 60% Coal/oil 7% Hydro, wind and solar 35% Nuclear 36% Natural gas 22% Coal/oil 25% Hydro, wind and solar 30% Nuclear 40% Natural gas 5% Coal/oil 1 2005 and 2021 data based on Duke Energy’s ownership share of U.S. generation",0,1,0,0,1,0,0,2,Duke_Energy,rel,rel,,
"Electricity Generated (net megawatt-hours) MWh (thousands) Percent Nuclear 75,328 34.9% Wind 2 7,387 3.4% Conventional Hydro2 2,870 1.3% Solar2 4,325 2.0% Natural Gas 77,679 36.0% Fuel Cell 374 0.2% Coal 48,181 22.3% Oil 214 0.1% Pumped-Storage Hydro 3 (614) -0.3% Generation Capacity (megawatts) MW Percent 8,907 16.5% 2,987 5.5% 1,339 2.5% 1,973 3.7% 19,788 36.7% 44 0.1% 15,652 29.0% 995 1.8% 2,300 4.3% Total Carbon-Free 89,910 15,206 41.7% 28.2% 78,053 48,395 22.4% 19,832 36.7% 30.8% 16,647 215,745 100% 53,985 100% 36.2% 2021 19.9 27.3 631",0,1,1,0,0,0,0,2,Duke_Energy,rel,rel,,
"Already, the company has reduced carbon emissions from electricity generation by 44% from 2005 levels – the equivalent of removing 13 million vehicles from the road.",0,0,1,0,0,0,0,1,Duke_Energy,rel,rel,,
Work underway includes: ■ Partnered with Accenture and Microsoft on a unique satellite leak detection platform designed to measure actual baseline methane emissions from natural gas distribution systems.,0,0,1,0,0,0,0,1,Duke_Energy,irr,rel,,
These improvements were made while production volume increased.,1,1,0,0,0,0,0,2,EliLilly,irr,irr,,
"Manufacturing facilities in Fegersheim, France and Sesto, Italy have solar arrays of 62 kW and 145 kW, respectively.",0,0,0,1,0,0,1,2,EliLilly,rel,rel,,
"In the case where locations are unable to provide relevant data (common for many ELC international leased office and free-standing stores), the preferred method of estimation is based on square footage of office, free-standing store, or salon space.",1,1,0,0,0,0,0,2,EsteeLauder,irr,irr,,
"To date, we have developed two GHG emissions (Scope 1 and 2) reduction targets for our business in order to help manage relevant, climate-related risks and support the decarbonization of our business – the first, established in 2020, seeks to reduce the GHG emissions intensity of Freeport Americas Copper operations by 15% from our 2018 baseline.",0,0,1,0,0,0,0,1,FreeportMcmoran,rel,rel,,
"• Provision of birth certificates, school kits and bridging classes through the CLMRS system.",1,1,0,0,0,0,0,2,Hershey,irr,irr,,
Hershey Mexico donated medical equipment and supplies to hospitals in Guadalajara to help youth burn victims receive treatment.,0,1,0,0,1,0,0,2,Hershey,irr,irr,,
"• Reduced coal usage (already phased out in 2022) within our India plant, where we’ve transitioned to using rice husks as biofuel.",0,0,1,0,0,0,0,1,Hershey,rel,rel,,
• Identified opportunities and invested in reducing the energy intensity of manufacturing.,0,0,1,0,0,0,0,1,Hershey,rel,irr,,
2 The Responsible Recruitment Program applies to all labor agencies that provide contingent labor or labor services to Hershey owned and operated offices and manufacturing sites.,0,0,0,0,1,0,0,1,Hershey,irr,irr,,
We are intentional in striving for improvement.,1,1,0,0,0,0,0,2,HomeDepot,irr,irr,,
"While New England Wire manufactured the shield kits, Chad and his colleagues created step-by-step instructions and an accompanying video for associates who would do the assembly in stores.",0,1,0,0,1,0,0,2,HomeDepot,irr,irr,,
"After In 2020, our U.S. stores reduced electricity use by more than 14% year over year.",0,0,1,0,0,0,0,1,HomeDepot,rel,rel,,
"We installed 836 energy-efficient heating, air-conditioning and ventilation systems in more than 70 U.S. stores in 2020.",0,0,1,0,0,0,0,1,HomeDepot,rel,rel,,
"investments in helped us achieve a 22% reduction in the carbon dioxide emitted for each dollar of revenue we earned, compared to 2019.",0,0,0,0,1,0,0,1,HomeDepot,rel,rel,past tense + numbers,
"When a counterfeit product is purchased, everyone—except for the counterfeiter—loses.",1,0,0,0,1,0,0,2,johnsonandjohnson,irr,irr,,
"Total Water Withdrawal, Discharge & Consumption 2019 Linde 2020 Linde A.",1,0,0,0,1,0,0,2,Linde,irr,irr,,
these emissions were 1.5 MM MT CO₂e (2019: 1.7).,0,1,1,0,0,0,0,2,Linde,rel,irr,,maybe not extracted properly
a 9.3 percent improvement over the baseline.,0,1,0,0,0,1,0,2,Linde,rel,rel,,"but not extracted properly, arguably irr"
"• Linde meets with international, national, sub-national and local government officials to discuss energy costs, energy efficiency, tax and trade-related issues and the environmental benefits of Linde technologies.",0,0,1,0,0,0,0,1,Linde,irr,irr,,
"billion, 2018, resulting from lower production volumes due to the pandemic and increased renewable energy availability and sourcing.",0,0,0,0,1,0,0,1,Linde,rel,rel,,not extracted properly
"We are continuing efforts with our suppliers, who account for more than 70 percent of our Scope 3 emissions, through engagement, interventions and target-setting.",0,0,0,0,1,0,1,2,Mastercard,rel,irr,,"again, appears to be context/lead-in sentence"
"continue at these Additionally, 15 new sites through 2022. restoration projects, announced in 2022, have been added to the portfolio, for a total of more than 12 million trees funded through restoration grants.",0,0,1,0,0,1,0,2,Mastercard,rel,rel,,
"For example, $1.67 for every $1 contributed on the first 6 percent of base pay for all employees in the U.S.",1,0,1,0,0,0,0,2,Mastercard,irr,irr,,
"Mastercard continued to work on forest restoration projects globally through our Priceless Planet Coalition, which unites our partners in the commitment to restore 100 million trees over five years.",0,0,0,1,0,0,1,2,Mastercard,rel,rel,,
"03 Nicole Yap Manager, Product Architect, NAM PEOPLE Our people strategy has helped fuel Mastercard’s success, positioning us as a global technology company, a recognized workplace and a celebrated brand.",0,0,1,0,0,0,0,1,Mastercard,irr,irr,,
help us achieve our 2040 net-zero goal.,0,0,1,0,0,0,0,1,Mastercard,rel,irr,,"lead in, but by itself does not seem relevant"
"These technologies include videoconferencing applications, virtual whiteboards, polling and podcasting tools and cloud-based productivity suites.",1,0,0,0,1,0,0,2,Merck,irr,irr,,
3 Percentage calculated based on total investments in partnerships and programs to strengthen health care capacity and address barriers to access supported through our company’s Foundation.,0,1,1,0,0,0,0,2,Merck,irr,irr,,
"To harness the knowledge and insights of our global diverse workforce, we take a thoughtful and strategic approach to workplace inclusion, and investments in employee development and wellbeing.",0,0,1,0,0,0,0,1,Merck,irr,irr,,
3 Decline in patients reached in 2020 primarily due to a decrease in topical corticosteroid medicine donations.,1,0,0,0,0,0,0,1,Merck,irr,irr,,
"At the Bengaluru Cosmo office site, we installed an uninterruptible power supply (UPS) with flywheel to store kinetic energy to provide backup power without the need for lead acid batteries typically used in conventional UPS.",0,1,1,0,0,0,0,2,Microsoft,rel,rel,,
We are also focused on keeping our products and packaging in use longer by designing for circularity.,1,1,0,0,0,0,0,2,Microsoft,irr,irr,,"""lead-in"", could arguably be relevant"
"Biochar We invested in a portfolio from Puro.earth Oy, including from Carbon Cycle, Carbofex, and ECHO2, small operations in Germany, Finland, and Australia that use biomass residue (for example, wood chips and forest waste) to sequester carbon dioxide in biochar for use in soil amendment and other products.",0,1,1,0,0,0,0,2,Microsoft,rel,rel,,
"We launched a new request for proposals in July 2021, seeking the highest quality of projects on the market, both nature-based and engineered.",0,1,1,0,0,0,0,2,Microsoft,rel,irr,"vague, unclear what the action is",
"We have committed to certifying our Microsoft datacenters and major offices to LEED Gold or Platinum—with a focus on the categories of energy and atmosphere, water efficiency, materials and waste, location and transportation, sustainable sites, and indoor environmental conditions.",1,0,0,0,1,0,0,2,Microsoft,irr,rel,,
"In 2021, we unveiled our plans for a new, hyper-efficient thermal energy center for our Puget Sound campus, which utilizes geothermal wells to heat and cool our buildings—resulting in a 50 percent reduction in energy usage compared to the typical utility plant.",0,1,0,0,1,0,0,2,Microsoft,rel,rel,,
1.1M mtCO2 removal contracted to date in FY22.,0,0,1,0,0,1,0,2,Microsoft,rel,rel,,
"Of this total, about 120,000 mtCO2 were Scope 1 emissions at Microsoft datacenters and campuses.",0,1,0,0,1,0,0,2,Microsoft,rel,rel,,but need more context on scope 1
Lifetime electricity use per device is calculated based on standard product-use assumptions as included in our ISO 14040– and ISO 14044–compliant lifecycle analyses.,0,1,1,0,0,0,0,2,Microsoft,irr,irr,,
Its goals are to reduce the impact of the gaming ecosystem on the environment through better carbon accounting and educating gamers everywhere on sustainable causes.,0,0,1,0,0,1,0,2,Microsoft,irr,irr,,
within substantial portion of the energy footprint of buildings.,0,0,1,0,0,1,0,2,Microsoft,rel,irr,,maybe not extracted properly
"Our commitment is that by 2030, 100 percent of Microsoft’s energy supply, 100 percent of the time, will come from zero carbon resources on grids where we operate.",0,0,1,0,1,0,0,2,Microsoft,rel,rel,,
Our total company emissions (market-based) in 2021 were approximately 14 million mtCO2.,0,1,1,0,0,0,0,2,Microsoft,rel,rel,,
"In addition to these purchases, we’re using our campuses have installed on-site renewables at select campuses At our Silicon Valley campus, a solar panel will offset energy consumption up to 15 percent.",0,1,0,0,1,0,0,2,Microsoft,rel,rel,,may not be extracted properly
Overview Contents Foreword 4 2021 progress 6 How we work 7 Feature story: Employee engagement 9 Commitments and progress 11 About this report 13 3 Overview Carbon Water Waste Ecosystems Appendix,0,0,1,0,0,0,0,1,Microsoft,irr,irr,,
"Already, we’ve contracted for more than 8 GW of renewable energy.",0,0,0,0,1,0,0,1,Microsoft,rel,rel,,
0 * Represents the percentage of emissions calculated (by category) using data obtained from suppliers or value chain partners.,0,0,1,0,0,0,0,1,Microsoft,irr,irr,,
10 Microsoft is collaborating with 10 other companies to test circular packaging solutions to replace stretch wrap packaging.,0,0,1,0,0,0,0,1,Microsoft,irr,rel,,
"3 Measurement is based on the device industry best-practice life cycle methodology, which is not currently reflected in Microsoft’s corporate disclosure.",0,0,1,0,0,0,0,1,Microsoft,irr,irr,,
brings our operating and projects to 7.8 GW globally and we are positioned to continue to grow our renewable resource portfolio.,0,0,1,0,0,0,0,1,Microsoft,rel,rel,,
We have seen a 12 percent increase in median efficiency based on energy estimates and plan to implement Bonsai in the 12 remaining chiller plants this fiscal year.,0,0,1,0,0,0,0,1,Microsoft,rel,rel,,
59 Resources 60 Zero waste Our approach 62 Getting to zero waste 65 Driving transformation 69 Enabling systems change 71 Key trends 74 What’s next?,0,0,1,0,0,0,0,1,Microsoft,irr,irr,,appear to be titles?
53 Overview Carbon Water Waste Ecosystems Appendix,0,0,1,0,0,0,0,1,Microsoft,irr,irr,,
